Date|Category|Item|Amount|Regular ?|Remark
8/30/2015|Jinny|Clothes|$442.00 |Y|aeon (clothes and 3 nipples)
8/30/2015|Jinny|Clothes|$316.00 |Y|uniqulo
8/30/2015|Meal|Tea|$47.00 |Y|Mos burger@Apita
8/30/2015|Cook|Drink|$49.10 |Y|seven eleven
8/30/2015|Meal|Dinner|$88.60 |Y|KFC
8/31/2015|Meal|Lunch|$53.00 |Y|泰國人海南雞
8/31/2015|Meal|Breakfast|$16.00 |Y|牛肉 / 燒賣
8/31/2015|Cook|Drink|$23.50 |Y|Lemon tea
8/31/2015|Domestic|洗面|$195.00 |Y|SaSa
9/1/2015|Bill|Meifoo|$1,096.00 |Y|
9/1/2015|Meal|Lunch|$30.00 |Y|車仔麵
9/1/2015|Meal|Breakfast|$12.90 |Y|seven eleven 三文治
9/1/2015|Misc|Stamp|$17.00 |N|
9/2/2015|Meal|Breakfast|$25.00 |Y|興濱
9/2/2015|Meal|Lunch|$100.00 |Y|Triple O
9/2/2015|Meal|Lunch|$48.00 |Y|燉奶佬
9/2/2015|Misc|疤痕敵|$390.00 |N|
9/2/2015|Domestic|沖涼球|$20.00 |Y|日本城
9/2/2015|Misc|Air pump|$25.00 |N|
9/2/2015|Jinny|education|$2,349.00 |N|杜曼教材
9/3/2015|Meal|Breakfast|$22.00 |Y|美心麵包
9/3/2015|Transport|MTR|$12.40 |Y|去中環
9/3/2015|Transport|MTR|$13.80 |Y|回家
9/3/2015|Meal|Lunch|$59.00 |Y|龍鳳
9/3/2015|Meal|Dinner|$800.00 |N|Bread Street Kitchen
9/4/2015|Meal|Breakfast|$24.00 |Y|三文治
9/4/2015|Meal|Lunch|$85.00 |Y|Triple O
9/4/2015|Domestic|疤痕油|$115.00 |N|
9/5/2015|Meal|Breakfast|$58.00 |Y|金銀利
9/5/2015|Transport|Toll|$6.00 |N|將軍澳隧道 x 2
9/5/2015|Drive|泊車|$65.00 |N|將軍澳 - 耀家
9/5/2015|Meal|Dinner|$330.00 |Y|耀家 - 叫外賣
9/5/2015|Jinny|iAngel|$1,538.00 |N|
9/6/2015|Meal|Lunch|$129.00 |Y|
8/31/2015|Bill|Custodian|$25.00 |Y|
9/6/2015|Cook|Snack|$46.90 |Y|烏龍茶 / Oreo
9/7/2015|Meal|Breakfast|$12.00 |Y|三文治
9/7/2015|Meal|Lunch|$28.00 |Y|車仔麵
9/7/2015|Meal|Lunch|$40.00 |Y|餃子妹
9/7/2015|Jinny|洗奶盤|$14.90 |N|日本城
9/7/2015|Cook|Snack|$83.80 |Y|ParkNShop
9/8/2015|Meal|Breakfast|$16.00 |Y|牛肉 / 燒賣
9/8/2015|Meal|Lunch|$35.00 |Y|車仔麵
9/8/2015|Meal|Tea|$28.00 |Y|金銀利
9/8/2015|Misc|Massage|$170.00 |Y|美孚
9/9/2015|Meal|Lunch|$64.00 |Y| 大埔街市
9/9/2015|Drive|Park|$4.00 |Y|
9/9/2015|Drive|Park|$16.00 |Y|大埔街市
9/10/2015|Meal|Breakfast|$16.00 |Y|牛肉 / 燒賣
9/10/2015|Meal|Lunch|$40.00 |Y|興濱
9/9/2015|Domestic|丫叉抺window|$92.80 |N|日本城
9/9/2015|Cook|Drink|$16.00 |N|歇腳亭
9/9/2015|Cook|Food|$29.70 |Y|ParkNShop
9/9/2015|Cook|Snack|$75.00 |N|半熟工房
9/10/2015|Meal|Lunch|$60.00 |Y|韓國野
9/10/2015|Domestic|雜貨|$55.00 |Y|ParkNShop
9/11/2015|Meal|Breakfast|$16.00 |Y|牛肉 / 燒賣
9/11/2015|Meal|Breakfast|$29.00 |Y|燉奶佬
9/11/2015|Meal|Lunch|$56.00 |Y|蝦麵館
9/11/2015|Cook|Food|$73.90 |Y|ParkNShop
9/11/2015|Cook|Food|$88.00 |Y|木瓜/丸
9/11/2015|Cook|買餸|$1,000.00 |Y|玫瑰
9/12/2015|Meal|Breakfast|$128.00 |Y|Wolf Den
9/12/2015|Meal|Lunch|$32.80 |Y|McDonald
9/12/2015|Cook|Food|$30.00 |Y|fish
9/12/2015|Cook|Food|$10.00 |Y|meat
9/12/2015|Cook|Food|$2.00 |Y|salted egg
9/12/2015|Cook|Food|$6.00 |Y|小棠菜
9/12/2015|Domestic|雜貨|$15.20 |Y|759 垃圾消臭
9/12/2015|Transport|MTR|$7.80 |Y|TST to Mei Foo
9/12/2015|Meal|Lunch|$21.00 |Y|Starbucks sausroll
9/12/2015|Meal|Dinner|$233.00 |Y|美中鴨子
9/13/2015|Meal|Lunch|$150.00 |Y|mega box 日和號
9/13/2015|Domestic|Ikea|$399.00 |N|shelf for 洗衣房
9/13/2015|Domestic|Ikea|$16.90 |N|Ikea 膠袋
9/13/2015|Drive|Gasoline|$400.00 |Y|
9/13/2015|Drive|泊車|$40.00 |Y|Mega box 2 hrs
9/13/2015|Jinny|Clothes|$238.50 |Y|MOTHER & CHILD LTD
9/13/2015|Meal|Dinner|$100.00 |Y|PHD at phoebe home
9/13/2015|Drive|泊車|$80.00 |Y|City One 3h8m
9/13/2015|Jinny|奶粉|$359.00 |Y|mannings
9/13/2015|Domestic|雜貨|$19.00 |N|759, buy snack to phoebe home
9/14/2015|Meal|Breakfast|$23.00 |Y|興濱
9/14/2015|Meal|Lunch|$28.00 |Y|粥
9/15/2015|Meal|Breakfast|$23.00 |Y|興濱
